gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,231,0,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1244,308,415,614,357,262,300,176
In the Zone,50ms,231,1,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1273,324,453,564,361,267,352,174
In the Zone,50ms,231,2,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1297,336,470,535,361,247,327,146
In the Zone,50ms,231,3,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1520,353,472,516,362,244,311,143
In the Zone,50ms,231,4,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1480,307,510,498,349,241,269,160
In the Zone,50ms,231,5,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1349,269,459,544,326,233,220,174
In the Zone,50ms,231,6,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1397,259,445,550,278,218,186,188
In the Zone,50ms,231,7,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1159,244,467,531,288,216,188,201
In the Zone,50ms,231,8,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1335,242,435,628,326,239,259,199
In the Zone,50ms,231,9,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1480,248,453,623,335,233,257,194
In the Zone,50ms,231,10,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1480,248,453,623,335,233,257,194
In the Zone,50ms,231,11,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1465,265,446,548,320,238,281,189
In the Zone,50ms,231,12,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1374,268,463,424,287,216,233,182
In the Zone,50ms,231,13,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1273,271,507,406,285,226,244,177
In the Zone,50ms,231,14,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1503,272,473,477,294,237,263,181
In the Zone,50ms,231,15,1,0.15249,0.19941,0,0,0,,0.026799999999999997,0.0368,1533,312,513,509,339,237,289,186
