gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,40,0,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,103,135,101,115,108,115,126,130
In the Zone,50ms,40,1,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,109,127,99,117,111,126,122,127
In the Zone,50ms,40,2,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,113,130,113,116,116,126,109,124
In the Zone,50ms,40,3,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,113,125,118,121,128,125,119,117
In the Zone,50ms,40,4,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,125,135,128,118,132,132,115,124
In the Zone,50ms,40,5,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,125,135,128,118,132,132,115,124
In the Zone,50ms,40,6,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,133,139,127,123,125,114,113,114
In the Zone,50ms,40,7,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,140,140,125,119,119,112,111,109
In the Zone,50ms,40,8,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,139,125,126,134,124,112,114,104
In the Zone,50ms,40,9,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,132,118,121,131,120,111,123,113
In the Zone,50ms,40,10,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,143,112,118,124,127,130,121,114
In the Zone,50ms,40,11,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,138,110,117,131,122,128,110,116
In the Zone,50ms,40,12,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,127,123,111,120,118,127,114,117
In the Zone,50ms,40,13,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,122,135,108,128,117,123,120,109
In the Zone,50ms,40,14,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,114,141,108,134,113,109,122,105
In the Zone,50ms,40,15,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,121,144,109,132,108,113,124,106
In the Zone,50ms,40,16,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,129,135,107,135,98,111,121,114
In the Zone,50ms,40,17,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,139,119,118,124,105,110,112,118
In the Zone,50ms,40,18,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,137,112,123,113,108,120,119,116
In the Zone,50ms,40,19,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,128,117,114,108,115,123,125,118
In the Zone,50ms,40,20,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,120,120,113,106,118,120,119,102
In the Zone,50ms,40,21,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,112,124,110,107,110,116,114,99
In the Zone,50ms,40,22,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,116,126,112,116,108,117,110,110
In the Zone,50ms,40,23,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,114,118,119,121,108,110,122,111
In the Zone,50ms,40,24,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,114,113,120,123,108,113,132,114
In the Zone,50ms,40,25,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,118,113,119,125,111,125,141,124
In the Zone,50ms,40,26,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,110,114,120,123,110,125,142,124
In the Zone,50ms,40,27,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,115,107,129,123,101,123,137,121
In the Zone,50ms,40,28,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,123,115,136,119,107,115,132,131
In the Zone,50ms,40,29,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,116,125,138,122,114,114,126,130
In the Zone,50ms,40,30,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,123,127,132,118,118,101,132,120
In the Zone,50ms,40,31,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,119,134,129,119,127,106,122,127
In the Zone,50ms,40,32,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,115,134,126,125,121,124,123,127
In the Zone,50ms,40,33,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,114,125,115,122,120,126,117,132
In the Zone,50ms,40,34,1,0.15249,0.19941,0,0,0,,0.08710819369431538,0.09710819369431538,114,125,115,122,120,126,117,132
